ITC Bot experimental#9136,履歴を取得中...,2021-04-20 09:57:27.128000,
kyoichi#8214,!export_channel,2021-04-20 09:57:26.986000,
ITC Bot experimental#9136,"Command ""export_chaennel"" is not found",2021-04-20 09:57:21.604000,
kyoichi#8214,!export_chaennel,2021-04-20 09:57:21.301000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを終了しました。,2021-04-20 09:57:16.954000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを開始します。,2021-04-20 09:57:16.556000,
kyoichi#8214,!reload cogs.export_channel,2021-04-20 09:57:16.085000,
ITC Bot experimental#9136,ファイルを出力します,2021-04-20 09:55:29.909000,
ITC Bot experimental#9136,履歴を取得しました。TestBot_experimental.csvに出力します,2021-04-20 09:55:29.481000,
ITC Bot experimental#9136,履歴を取得中...,2021-04-20 09:55:28.218000,
kyoichi#8214,!export_channel,2021-04-20 09:55:27.977000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを終了しました。,2021-04-20 09:55:25.381000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを開始します。,2021-04-20 09:55:24.911000,
kyoichi#8214,!reload cogs.export_channel,2021-04-20 09:55:24.473000,
ITC Bot experimental#9136,Command raised an exception: InvalidArgument: file parameter must be File,2021-04-20 09:53:12.699000,
ITC Bot experimental#9136,履歴を取得しました。TestBot_experimental.csvに出力します,2021-04-20 09:53:12.447000,
ITC Bot experimental#9136,履歴を取得中...,2021-04-20 09:53:11.186000,
kyoichi#8214,!export_channel,2021-04-20 09:53:10.913000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを終了しました。,2021-04-20 09:53:09.008000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを開始します。,2021-04-20 09:53:08.531000,
kyoichi#8214,!reload cogs.export_channel,2021-04-20 09:53:08.057000,
ITC Bot experimental#9136,Command raised an exception: TypeError: send() got an unexpected keyword argument 'filename',2021-04-20 09:51:10.441000,
ITC Bot experimental#9136,履歴を取得しました。TestBot_experimental.csvに出力します,2021-04-20 09:51:10.143000,
ITC Bot experimental#9136,履歴を取得中...,2021-04-20 09:51:09.180000,
kyoichi#8214,!export_channel,2021-04-20 09:51:08.871000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを終了しました。,2021-04-20 09:51:06.825000,
ITC Bot experimental#9136,モジュール cogs.export_channel の再読み込みを開始します。,2021-04-20 09:51:06.367000,
kyoichi#8214,!reload cogs.export_channel,2021-04-20 09:51:05.766000,
